Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope,NI_var_term
Massachusetts,Revere,Donnelly (2006),42.4_-71,42.4,-71,-0.58,0.07,0.07,1.584,"Revere,
 Massachusetts",0.049,0.049,0.049,0.07,01,ProxyData,0.58,0.016148807474848273,0.39556336402893066,0.0028590390160564303
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-1.12,0.06,0.06,0.463,"Wood Island,
 Massachusetts",0.039,0.039,0.039,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.0018881470828542247
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-1.02,0.06,0.06,0.507,"Wood Island,
 Massachusetts",0.037,0.037,0.037,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.004316316242964364
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.98,0.06,0.06,0.619,"Wood Island,
 Massachusetts",0.02,0.02,0.02,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.005859046041966395
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.93,0.06,0.06,0.671,"Wood Island,
 Massachusetts",0.0305,0.0305,0.0305,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.0016172478640613442
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.74,0.06,0.06,0.707,"Wood Island,
 Massachusetts",0.048,0.048,0.048,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,8.192228311690696e-4
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.84,0.06,0.06,0.728,"Wood Island,
 Massachusetts",0.0505,0.0505,0.0505,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.0013041347476617782
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.63,0.06,0.06,0.932,"Wood Island,
 Massachusetts",0.05,0.05,0.05,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.007514953322656848
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.64,0.06,0.06,0.941,"Wood Island,
 Massachusetts",0.027,0.027,0.027,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.006829721651359661
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.59,0.06,0.06,0.997,"Wood Island,
 Massachusetts",0.034,0.034,0.034,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.0010722427345397302
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.52,0.06,0.06,1.415,"Wood Island,
 Massachusetts",0.03,0.03,0.03,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.004578910156680121
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.49,0.06,0.06,1.486,"Wood Island,
 Massachusetts",0.0455,0.0455,0.0455,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,6.055334472971311e-4
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.49,0.06,0.06,1.487,"Wood Island,
 Massachusetts",0.0475,0.0475,0.0475,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,5.909334182281082e-4
Massachusetts,Wood Island,Kemp et al. (2011),42.2_-70.8,42.2,-70.8,-0.42,0.06,0.06,1.6,"Wood Island,
 Massachusetts",0.045,0.045,0.045,0.06,01,ProxyData,0.52,6.548980296230637e-8,0.39556336402893066,0.005399785951767225
