Basin,Region,Site,Reference,Indicator,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.36,0.08,0.08,1.903,28,37,"Sand Point,
 North Carolina",0.014,0.0185,0.01625,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.37,0.08,0.08,1.898,32,38,"Sand Point,
 North Carolina",0.016,0.019,0.0175,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.38,0.08,0.08,1.892,35,37,"Sand Point,
 North Carolina",0.0175,0.0185,0.018,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.4,0.08,0.08,1.882,36,37,"Sand Point,
 North Carolina",0.018,0.0185,0.01825,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.42,0.08,0.08,1.872,35,37,"Sand Point,
 North Carolina",0.0175,0.0185,0.018,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.45,0.08,0.08,1.857,37,37,"Sand Point,
 North Carolina",0.0185,0.0185,0.0185,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.47,0.08,0.08,1.846,40,34,"Sand Point,
 North Carolina",0.02,0.017,0.0185,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.48,0.08,0.08,1.841,39,34,"Sand Point,
 North Carolina",0.0195,0.017,0.01825,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.5,0.08,0.08,1.831,38,30,"Sand Point,
 North Carolina",0.019,0.015,0.017,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.53,0.08,0.08,1.815,33,25,"Sand Point,
 North Carolina",0.0165,0.0125,0.0145,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.54,0.08,0.08,1.809,31,22,"Sand Point,
 North Carolina",0.0155,0.011,0.01325,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.55,0.08,0.08,1.805,27,21,"Sand Point,
 North Carolina",0.0135,0.0105,0.012,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.56,0.08,0.08,1.8,24,18,"Sand Point,
 North Carolina",0.012,0.009,0.0105,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.57,0.08,0.08,1.794,22,19,"Sand Point,
 North Carolina",0.011,0.0095,0.01025,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.58,0.08,0.08,1.786,20,22,"Sand Point,
 North Carolina",0.01,0.011,0.0105,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.59,0.08,0.08,1.778,16,30,"Sand Point,
 North Carolina",0.008,0.015,0.0115,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.61,0.08,0.08,1.764,24,40,"Sand Point,
 North Carolina",0.012,0.02,0.016,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.63,0.08,0.08,1.75,29,49,"Sand Point,
 North Carolina",0.0145,0.0245,0.0195,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.65,0.08,0.08,1.734,37,56,"Sand Point,
 North Carolina",0.0185,0.028,0.02325,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.67,0.08,0.08,1.72,42,60,"Sand Point,
 North Carolina",0.021,0.03,0.0255,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.69,0.08,0.08,1.702,50,60,"Sand Point,
 North Carolina",0.025,0.03,0.0275,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.71,0.08,0.08,1.683,61,63,"Sand Point,
 North Carolina",0.0305,0.0315,0.031,0.08
North Atlantic,North Carolina,Sand Point,"Kemp et al. (2011), Kemp et al. (2017)",foraminifera,35.885,-75.681,-0.73,0.08,0.08,1.661,60,54,"Sand Point,
 North Carolina",0.03,0.027,0.0285,0.08
